,bound,dS,dT,eS,eT,kl,rS,rT,tS,tT,time
data=heart/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.5033557,0.4189189,0.5649595260620117
data=phishing/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.1684834056199683,0.047801808,0.045239337,0.029182687,0.03446714,0.0,0.05308359,0.057086807,0.033836987,0.036791313,0.5648491382598877
data=tictactoe/delta=0.05/epoch=2000/learner=cb-boost/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.999359460530868,0.45734388,0.45993987,0.18320978,0.18526222,2.737611055374145,0.41188172,0.41523215,0.24217118,0.22964509,0.188495397567749
data=tictactoe/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.7013884952451472,0.26574004,0.2530088,0.08754668,0.06777538,0.0,0.2204167,0.19427979,0.075,0.06680585,1.231360673904419
data=svmguide/delta=0.05/epoch=2000/learner=cb-boost/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.310843755827223,0.19391747,0.20474829,0.051732384,0.05787938,2.8637232780456543,0.14869112,0.16025352,0.067011975,0.08175,0.2662792205810547
data=haberman/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,1.2863163948059082,0.40699014,0.40465888,0.18648003,0.1677279,0.4261870384216308,0.3899751,0.37005734,0.2875817,0.24836601,2.043431043624878
data=wdbc/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.47719297,0.45774648,1.2312602996826172
data=heart/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.738255,0.7364865,1.4310011863708496
data=heart/delta=0.05/epoch=2000/learner=cb-boost/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.9701100989893272,0.23232605,0.25466472,0.093383186,0.1782437,2.232640504837036,0.20954621,0.30557606,0.093333334,0.27027026,0.1412134170532226
data=heart/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,1.078216552734375,0.38346916,0.38933465,0.1300515,0.13405724,1.170598030090332,0.32178608,0.32872456,0.15436241,0.1554054,2.991633415222168
data=credit/delta=0.05/epoch=2000/learner=cb-boost/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.8352515665536381,0.2279516,0.23082322,0.092746295,0.10483679,1.9263458251953125,0.2067221,0.2202484,0.09146342,0.1411043,0.140716552734375
data=haberman/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,1.548790693283081,0.24964145,0.20724039,0.19656377,0.20927536,0.2783646583557129,0.3213845,0.31289557,0.25974026,0.27450982,2.957229852676392
